artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,track_name_id
2,2023,7,14,553,147,141381703,43,263,45,10,826,125,1,1,0.89,0.83,0.31,0.0,0.08,0.04,0
1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,1,1,0.61,0.74,0.07,0.0,0.1,0.04,1
1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,1,0,0.32,0.53,0.17,0.0,0.31,0.06,2
1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,1,0,0.58,0.72,0.11,0.0,0.11,0.15,3
1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,0,0,0.23,0.8,0.14,0.63,0.11,0.06,4
2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,1,1,0.66,0.58,0.19,0.0,0.08,0.24,5
2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,0,0,0.83,0.76,0.48,0.0,0.08,0.03,6
1,2023,7,7,714,43,58149378,25,89,30,13,194,100,1,0,0.26,0.71,0.37,0.0,0.11,0.04,7
1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,0,1,0.22,0.62,0.12,0.0,0.28,0.09,8
2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,0,1,0.56,0.48,0.21,0.0,0.08,0.33,9
2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,0,0,0.56,0.72,0.23,0.0,0.27,0.05,10
1,2023,7,7,422,55,58255150,37,202,21,5,168,150,0,1,0.52,0.82,0.18,0.0,0.15,0.07,11
1,2023,1,12,12211,115,1316855716,300,215,745,58,1021,118,1,1,0.65,0.68,0.06,0.0,0.03,0.07,726
1,2023,4,14,3528,98,387570742,80,156,182,24,1281,130,0,0,0.32,0.43,0.83,0.0,0.09,0.03,732
1,2022,3,31,23575,130,2513188493,403,198,863,46,0,174,0,0,0.66,0.73,0.34,0.0,0.31,0.06,14
1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,1,0,0.43,0.73,0.05,0.17,0.16,0.04,15
1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,0,1,0.76,0.59,0.43,0.0,0.34,0.03,16
1,2023,7,13,873,104,30546883,80,227,95,24,1173,78,1,0,0.14,0.09,0.96,0.0,0.1,0.03,17
2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,1,1,0.67,0.66,0.14,0.0,0.12,0.16,18
1,2023,3,24,596,68,363369738,8,104,23,2,29,120,1,0,0.36,0.73,0.0,0.0,0.36,0.04,19
3,2023,6,22,332,26,86444842,11,163,10,4,0,140,0,0,0.87,0.74,0.22,0.0,0.42,0.04,20
1,2013,1,1,12859,110,1297026226,24,98,582,2,73,135,0,0,0.44,0.42,0.12,0.02,0.11,0.03,21
2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,0,1,0.81,0.67,0.26,0.0,0.12,0.05,22
3,2023,6,2,1945,87,115364561,74,182,87,14,1093,99,1,1,0.83,0.68,0.07,0.0,0.36,0.2,23
1,2023,6,22,250,26,78300654,16,149,10,5,168,130,0,1,0.96,0.86,0.09,0.0,0.09,0.09,24
2,2023,6,29,859,40,61245289,35,109,41,14,211,122,0,1,0.74,0.71,0.14,0.0,0.56,0.04,25
1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,1,0,0.52,0.68,0.46,0.0,0.15,0.04,26
1,2023,5,25,2988,101,127408954,0,0,143,38,0,110,0,0,0.78,0.85,0.02,0.0,0.33,0.05,27
